State - Reg,State Abv,State Name,Reg Classification,Regulation Archived,Product Types regulated,Product Use Method,N-P-K Trigger,Claim Triggers,Package Size Trigger,Microbes Included,Tonnage Reporting Req?,Regulation,Frequency,Renewal Month,Initial Cost/Unit,Renewal Cost/Unit,TON Cost/Unit,Fee Unit,Min Ton Fee,Late Fee,State Contact (SC),SC Email Address,Office Mgr (Team lead),Office Mgr Email Address,Office Phone,Office Email,Check Payee,New Reg Method,New Registration Form or Portal,New Reg Sub Docs,New Reg Turnaround,Minimum Days Before Follow-up,New Reg Difficulty,Efficacy Requirements,In-state trials,Labs Required For Reg?,Test Frequency,Heavy Metals Test,Pathogen Analysis,Renewal Method,Renewal Sub Docs,Label Update Submission Method,Renewal Form or Portal,Tonnage Submission Method,Tonnage Form or Portal,Regulator Web Address,New Reg Trigger,Adjuvant Req,Discontinuance Period,Notes,Address Line 1,Address Line 2,Address Line 3,Mailing City,Mailing State,Mailing Zip,Delta Classification,Registration Tracking copy,Client Logins,Registration Tracking copy copy,Labeling Requirements,New Registration Notes,Client List,Tonnage Month,Renewal Season
NJ-Soil Conditioner,NJ,New Jersey,Soil Conditioner,,"Amendment/Conditioner,Surfactant/Wetting Agent","Foliar,Seed,Soil",0,,,No,Yes,Label Submission,One-time,,$0.00,$0.00,,$/Registration,,,,AgChem@ag.nj.gov,,,(609) 913-6506,AgChem@ag.nj.gov,NJ Dept of Ag,Online Portal,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,Label,1 Month,30,Easy,,,,,,,Online Portal,Updated labels,Online Portal,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,,https://ag-usaplants.mwg.nj.gov/SecurityLogin.aspx,https://www.nj.gov/agriculture/divisions/md/prog/agriculturalchemistry.html,,,,,NJ Dept of Ag / Div Mktg,State Chemist,PO Box 330,Trenton,NJ,???,Biostimulant,"375,958,846,1270,2561,2591,3667,3982,4571,5203,5258,5574,5732,7026,7078,7914,8892,9906,10053,10128,10344,10599,10820,11551,11629,11784,11862,11940,12018,12096,12174,12252,12330,12408,12486,12564,12642,12720,13217,13318,13931,13932,13933,13934,14112","EEA-NJ-ALL NON-PEST-ALL,ARB-NJ-ALL NON-PEST-ALL,BOR-NJ-ALL NON-PEST-ALL,OMY-NJ-ALL NON-PEST-ALL,GWB-NJ-ALL NON-PEST-ALL,PLL-NJ-ALL NON-PEST-ALL,SYM-NJ-ALL NON-PEST-ALL,VER-NJ-ALL NON-PEST-ALL","375,846,958,1270,2561,2591,3667,3982,4571,5203,5258,5574,5732,7026,7078,7914,8892,9906,10053,10128,10344,10599,10820,13318,12642,11551,11629,11784,11940,11862,12018,13217,12096,12174,12252,12330,12408,12720,12486,12564",,,,,
NM-Beneficial Substance,NM,New Mexico,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,NM Dept of Ag,,,,,30,,,,,,,,,,,,,,https://nmdeptag.nmsu.edu/licensing-and-registrations/fertilizer-and-soil-conditioner-registration.html,,,,,,,,,,,,,,,,,,,
NM-Fertilizer - ≤ 5lbs,NM,New Mexico,Fertilizer - ≤ 5lbs,,Fertilizer,N/A,> 0,,≤ 5 lbs ,No,No,Registration,Annual,12,$10.00,$10.00,,$/Registration,,$0.00,,fsf@nmda.nmsu.edu,,,(575) 646-3107,fsf@nmda.nmsu.edu,NM Dept of Ag,Paper/Mail,https://nmdeptag.nmsu.edu/media/pdf/commercial-fertilizer-soil-conditioner-reg-app-2021-25.pdf,"Label,SDS",2 Months,30,Easy,,Yes,,,,,Paper/Mail,Updated labels,Email,https://nmdeptag.nmsu.edu/aps/fsf/feed-and-fertilizer-renewals.html,,,https://nmdeptag.nmsu.edu/licensing-and-registrations/fertilizer-and-soil-conditioner-registration.html,"Name Change,Guarantee Change,Registrant Change",,,,New Mexico Department of Agriculture,"Div of Ag and Env Svcs / Feed, Seed and Fert Prog","PO Box 30005, MSC 3150",Las Cruces,NM,88003,Fertilizer,"376,497,498,496,495,1185,3000,3065,3131,3194,3257,3320,3445,3508,3602,3732,3796,3860,3924,4046,4112,4176,4240,4317,4381,4452,4516,4635,4699,4763,4827,4892,4956,5020,5148,5370,5444,5513,9056,9122,9188,9981,10536,10669,11156,11259,11362,11465,12790,13133,13725","VER-NM-ALL NON-PEST-ALL,SYM-NM-ALL NON-PEST-ALL,ABM-NM-ALL NON-PEST-ALL,ARB-NM-ALL NON-PEST-ALL,EEA-NM-ALL NON-PEST-ALL,BOR-NM-ALL NON-PEST-ALL,OMY-NM-ALL NON-PEST-ALL,COR-NM-ALL NON-PEST-ALL","376,495,496,497,498,1185,3000,3065,3131,3194,3257,3320,3445,3508,3602,3732,3796,3860,3924,4046,4112,4176,4240,4317,4381,4452,4516,4635,4699,4763,4827,4892,4956,5020,5148,5370,5444,5513,9056,9122,9188,9981,10536,10669,12790,11156,11259,13133,11362,11465",,,,,End of Year
NM-Fertilizer - All Products,NM,New Mexico,Fertilizer - All Products,,Fertilizer,N/A,> 0,,,No,Yes,Registration,Annual,12,$5.00,$5.00,,$/Registration,,$0.00,,fsf@nmda.nmsu.edu,,,(575) 646-3107,fsf@nmda.nmsu.edu,NM Dept of Ag,Paper/Mail,https://nmdeptag.nmsu.edu/media/pdf/commercial-fertilizer-soil-conditioner-reg-app-2021-25.pdf,"Label,SDS",2 Months,30,Easy,,Yes,,,,,Paper/Mail,Updated labels,Email,https://nmdeptag.nmsu.edu/aps/fsf/feed-and-fertilizer-renewals.html,,,https://nmdeptag.nmsu.edu/licensing-and-registrations/fertilizer-and-soil-conditioner-registration.html,"Name Change,Guarantee Change,Registrant Change",,,,New Mexico Department of Agriculture,"Div of Ag and Env Svcs / Feed, Seed and Fert Prog","PO Box 30005, MSC 3150",Las Cruces,NM,88003,Fertilizer,"785,797,798,799,800,1186,3001,3066,3132,3195,3258,3321,3446,3509,3603,3733,3797,3861,3925,4047,4113,4177,4241,4318,4382,4453,4517,4636,4700,4764,4828,4893,4957,5021,5149,5371,5445,5514,5835,5898,5925,5939,5953,5967,6815,6816,6817,8641,8692,8761,9057,9123,9189,9613,9614,9615,9616,9617,9618,9619,9620,9621,9622,9623,9624,9625,9626,9627,9628,9629,9982,10537,10670,10855,10856,11157,11260,11363,11466,12791,13134,13724","VER-NM-ALL NON-PEST-ALL,SYM-NM-ALL NON-PEST-ALL,ABM-NM-ALL NON-PEST-ALL,ARB-NM-ALL NON-PEST-ALL,EEA-NM-ALL NON-PEST-ALL,BOR-NM-ALL NON-PEST-ALL,OMY-NM-ALL NON-PEST-ALL,COR-NM-ALL NON-PEST-ALL","785,797,798,799,800,1186,3001,3066,3132,3195,3258,3321,3446,3509,3603,3733,3797,3861,3925,4047,4113,4177,4241,4318,4382,4453,4517,4636,4700,4764,4828,4893,4957,5021,5149,5371,5445,5514,5835,5898,5925,5939,5953,5967,6815,6816,6817,8641,8692,8761,9057,9123,9189,9613,9614,9615,9616,9617,9618,9619,9620,9621,9622,9623,9624,9625,9626,9627,9628,9629,9982,10537,10670,10855,10856,12791,11157,11260,13134,11363,11466",,,,,End of Year
NM-Inspection fees,NM,New Mexico,Inspection fees,,Fertilizer,N/A,,,,,Yes,Tonnage/Mill,Quarterly,,,,$0.3500,$/Ton Sold,$0.00,$10.00,,tonnage@nmda.nmsu.edu,,,(575) 646-3107,tonnage@nmda.nmsu.edu,NM Dept of Ag,,,,,,,,,,,,,,,,,Paper/Mail,https://nmdeptag.nmsu.edu/aps/fsf/fertilizer-soil-conditioners-tonnage.html,https://nmdeptag.nmsu.edu/aps/fsf/fertilizer-soil-conditioners-tonnage.html,,,,New Mexico no longer requires monthly tonnage reports; only quarterly are required. If there are zero sales for the quarter you can fax the form 1 575 646 5977,,,,,,,Tonnage,"661,674,692,1273,1429,718,2291,2495,5672,6696,6947,7111,8928,10918,13557",,"661,674,692,718,1273,1429,2291,2495,5672,6696,6947,7111,8928,10918",,,,"01,04,07,10",
NM-Monthly Inspection Report,NM,New Mexico,Monthly Inspection Report,,Fertilizer,N/A,,,,,Yes,Tonnage/Mill,Monthly,,,,,,,,,tonnage@nmda.nmsu.edu,,,(575) 646-3107,tonnage@nmda.nmsu.edu,NM Dept of Ag,,,,,,,,,,,,,,,,,Online Portal,https://nmdeptag.nmsu.edu/aps/fsf/fertilizer-soil-conditioners-tonnage.html,https://nmdeptag.nmsu.edu/aps/fsf/fertilizer-soil-conditioners-tonnage.html,,,,New Mexico no longer requires monthly tonnage reports; only quarterly are required. If there are zero sales for the quarter you can fax the form 1 575 646 5977,,,,,,,Tonnage,"661,1774,1775,5287,5688,5689,5690,5691,5692,6697,6948,8929,10908",,"661,1774,1775,5287,5688,5689,5690,5691,5692,6697,6948,8929,10908",,,,"01,02,03,04,05,06,07,08,09,10,11,12",
NM-Soil Conditioner - ≤ 5lbs,NM,New Mexico,Soil Conditioner - ≤ 5lbs,,"Amendment/Conditioner,Surfactant/Wetting Agent,Biological Inoculant","Seed,Soil",0,,≤ 5 lbs ,Yes,No,Registration,Annual,12,$10.00,$10.00,,$/Registration,,$0.00,,fsf@nmda.nmsu.edu,,,(575) 646-3107,fsf@nmda.nmsu.edu,NM Dept of Ag,Paper/Mail,https://nmdeptag.nmsu.edu/media/pdf/commercial-fertilizer-soil-conditioner-reg-app-2021-25.pdf,Label,2 Months,30,Easy,,Yes,,,,,Paper/Mail,Updated labels,Paper/Mail,https://nmdeptag.nmsu.edu/aps/fsf/feed-and-fertilizer-renewals.html,,,https://nmdeptag.nmsu.edu/licensing-and-registrations/fertilizer-and-soil-conditioner-registration.html,"Name Change,Guarantee Change,Registrant Change",,,Improves yield and soil,New Mexico Department of Agriculture,"Div of Ag and Env Svcs / Feed, Seed and Fert Prog","PO Box 30005, MSC 3150",Las Cruces,NM,88003,Biostimulant,"77,102,141,182,218,251,282,377,538,553,1023,1428,1985,2300,2563,2593,3669,3984,4403,4404,4405,4406,4407,4408,4409,4573,5205,5260,5281,5282,5576,5734,6050,6102,6146,6172,6224,6276,6302,6328,6401,7011,7063,7710,7574,7667,7243,7403,7442,7508,7204,7337,7799,7916,8152,8229,8293,8357,8470,9276,10054,10129,10208,10287,10345,10600,10821,10991,11063,11552,11630,11785,11863,11941,12019,12097,12175,12253,12331,12409,12487,12565,12643,12721,12860,13218,13297,13935,13936,13937,14052,14097","VER-NM-ALL NON-PEST-ALL,SYM-NM-ALL NON-PEST-ALL,ABM-NM-ALL NON-PEST-ALL,ARB-NM-ALL NON-PEST-ALL,EEA-NM-ALL NON-PEST-ALL,BOR-NM-ALL NON-PEST-ALL,OMY-NM-ALL NON-PEST-ALL,COR-NM-ALL NON-PEST-ALL","77,102,141,182,218,251,282,377,538,553,1023,1428,1985,2300,2563,2593,3669,3984,4403,4404,4405,4406,4407,4408,4409,4573,5205,5260,5281,5282,5576,5734,6050,6102,6146,6172,6224,6276,6302,6328,6401,7011,7063,7204,7243,7337,7403,7442,7508,7574,7667,7710,7799,7916,8152,8229,8293,8357,8470,9276,10054,10129,10208,10287,10345,10600,10821,10991,11063,12860,13297,11552,11630,11785,11941,11863,12019,13218,12097,12175,12253,12331,12409,12721,12487,12565,12643",,,,,End of Year
NM-Soil Conditioner - ALL PRODUCTS,NM,New Mexico,Soil Conditioner - ALL PRODUCTS,,"Amendment/Conditioner,Surfactant/Wetting Agent,Biological Inoculant","Seed,Soil",0,,,Yes,Yes,Registration,Annual,12,$5.00,$5.00,,$/Registration,,$0.00,,fsf@nmda.nmsu.edu,,,(575) 646-3107,fsf@nmda.nmsu.edu,NM Dept of Ag,Paper/Mail,https://nmdeptag.nmsu.edu/media/pdf/commercial-fertilizer-soil-conditioner-reg-app-2021-25.pdf,"Label,SDS",2 Months,30,Easy,,Yes,,,,,Paper/Mail,Updated labels,Email,https://nmdeptag.nmsu.edu/aps/fsf/feed-and-fertilizer-renewals.html,,,https://nmdeptag.nmsu.edu/licensing-and-registrations/fertilizer-and-soil-conditioner-registration.html,"Name Change,Guarantee Change,Registrant Change",,,Improves yield and soil,New Mexico Department of Agriculture,"Div of Ag and Env Svcs / Feed, Seed and Fert Prog","PO Box 30005, MSC 3150",Las Cruces,NM,88003,Biostimulant,"14,760,761,767,786,807,810,959,1020,1021,1022,1024,1025,1272,1427,1984,1644,1649,1645,1647,1650,1648,1646,2292,2293,2294,2295,2296,2297,2298,2299,2562,2592,3668,3983,4572,5204,5259,5575,5733,6049,6101,6145,6171,6223,6275,6301,6327,6400,7062,7709,7601,7640,7270,7376,7469,7535,7177,7798,7915,7310,8153,8230,8294,8358,8471,8782,8893,9277,9907,10055,10130,10209,10288,10346,10355,10601,10822,10992,11064,11553,11631,11786,11864,11942,12020,12098,12176,12254,12332,12410,12488,12566,12644,12722,12861,13219,13339,13938,13939,13940,14003,14061","VER-NM-ALL NON-PEST-ALL,SYM-NM-ALL NON-PEST-ALL,ABM-NM-ALL NON-PEST-ALL,ARB-NM-ALL NON-PEST-ALL,EEA-NM-ALL NON-PEST-ALL,BOR-NM-ALL NON-PEST-ALL,OMY-NM-ALL NON-PEST-ALL,COR-NM-ALL NON-PEST-ALL","14,760,761,767,786,807,810,959,1020,1021,1022,1024,1025,1272,1427,1644,1645,1646,1647,1648,1649,1650,1984,2292,2293,2294,2295,2296,2297,2298,2299,2562,2592,3668,3983,4572,5204,5259,5575,5733,6049,6101,6145,6171,6223,6275,6301,6327,6400,7062,7177,7270,7310,7376,7469,7535,7601,7640,7709,7798,7915,8153,8230,8294,8358,8471,8782,8893,9277,9907,10055,10130,10209,10288,10346,10355,10601,10822,10992,11064,12861,13339,11553,11631,11786,11942,11864,12020,13219,12098,12176,12254,12332,12410,12722,12488,12566,12644",,,,,End of Year
NV-Agricultural Mineral,NV,Nevada,Agricultural Mineral,,Fertilizer,N/A,> 0,,,No,Yes,Registration,Annual,12,$80.00,$80.00,,$/Registration,,,Allison Kosturos,nvferts@agri.nv.gov,,,(775) 353-3635,nvferts@agri.nv.gov,State Chemist,Online Portal,https://nv.certifyag.com/Fert/,"Label,SDS",2 Months,30,Easy,,,,,,,Online Portal,Updated labels,Email,https://nv.certifyag.com/Fert/,,https://nv.certifyag.com/Fert/,https://agri.nv.gov/Resources/Registration/Division_of_Plant_Health_and_Compliance-Fertilizers/,"Name Change,Guarantee Change,Registrant Change",,,NPK < 5%,State Chemist,Nevada Department of Agriculture,405 South 21st Street,Sparks,NV,89431,Fertilizer,"21,370,488,489,487,486,369,1817,1906,5367,5441,5510,9058,9124,9190,9983,10538,10671,11158,11261,11364,11467,12792,13135,13721","OMY-NV-ALL NON-PEST-ALL,ARB-NV-ALL NON-PEST-ALL,BOR-NV-ALL NON-PEST-ALL,SYM-NV-ALL NON-PEST-ALL,VER-NV-ALL NON-PEST-ALL,EEA-NV-ALL NON-PEST-ALL","21,369,370,486,487,488,489,1817,1906,5367,5441,5510,9058,9124,9190,9983,10538,10671,12792,11158,11261,13135,11364,11467",,,,,End of Year
NV-Annual Tonnage Prepay (<20 tons),NV,Nevada,Annual Tonnage Prepay (<20 tons),,"Fertilizer,Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent,Liming Material",N/A,,,,No,Yes,Tonnage/Mill,Annual,,,,$0.3000,$/Ton Sold,$20.00,,Allison Kosturos,nvferts@agri.nv.gov,,,(775) 353-3635,nvferts@agri.nv.gov,State Chemist,,https://nv.certifyag.com/Fert/,,,,,,,,,,,,,,https://nv.certifyag.com/Fert/,Online Portal,https://nv.certifyag.com/Fert/,https://agri.nv.gov/Resources/Registration/Division_of_Plant_Health_and_Compliance-Fertilizers/,,,,****Prepay option for companies selling less than 20 tons per year.,,,,,,,Tonnage,"665,717,6698,8930,10910,10926,11017","OMY-NV-ALL NON-PEST-ALL,ARB-NV-ALL NON-PEST-ALL,BOR-NV-ALL NON-PEST-ALL,SYM-NV-ALL NON-PEST-ALL,VER-NV-ALL NON-PEST-ALL,EEA-NV-ALL NON-PEST-ALL","665,717,6698,8930,10910,10926,11017",,,,04,
NV-Auxiliary Plant Chemical,NV,Nevada,Auxiliary Plant Chemical,,"Amendment/Conditioner,Surfactant/Wetting Agent,Biological Inoculant",N/A,0,,,Yes,No,No Regulation,,,,,,,,,Allison Kosturos,nvferts@agri.nv.gov,,,(775) 353-3635,nvferts@agri.nv.gov,State Chemist,,https://nv.certifyag.com/Fert/,,,,,,,,,,,,,,https://nv.certifyag.com/Fert/,,https://nv.certifyag.com/Fert/,https://agri.nv.gov/Resources/Registration/Division_of_Plant_Health_and_Compliance-Fertilizers/,,,,"In Nevada state code, Bacterial Inoculants are classified as an Auxiliary Plant Chemical, which are not regulated.",State Chemist,Nevada Department of Agriculture,,,,,Biostimulant,"1987,2564,2594,3665,3980,4569,5201,5256,5577,5735,6051,6103,6147,6173,6199,6225,6251,6277,6303,6329,7743,7606,7672,7275,7408,7342,7474,7540,7209,7821,8183,8231,8295,8359,9908,10131,10210,10289,10602,10823,11065,11554,11632,11787,11865,11943,12021,12099,12177,12255,12333,12411,12489,12567,12645,12723,12862,13220,14053","OMY-NV-ALL NON-PEST-ALL,ARB-NV-ALL NON-PEST-ALL,BOR-NV-ALL NON-PEST-ALL,SYM-NV-ALL NON-PEST-ALL,VER-NV-ALL NON-PEST-ALL,EEA-NV-ALL NON-PEST-ALL","1987,2564,2594,3665,3980,4569,5201,5256,5577,5735,6051,6103,6147,6173,6199,6225,6251,6277,6303,6329,7209,7275,7342,7408,7474,7540,7606,7672,7743,7821,8183,8231,8295,8359,9908,10131,10210,10289,10602,10823,11065,12862,11554,11632,11787,11943,11865,12021,13220,12099,12177,12255,12333,12411,12489,12567,12645,12723",,,,,
NV-Beneficial Substance,NV,Nevada,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,State Chemist,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,"OMY-NV-ALL NON-PEST-ALL,ARB-NV-ALL NON-PEST-ALL,BOR-NV-ALL NON-PEST-ALL,SYM-NV-ALL NON-PEST-ALL,VER-NV-ALL NON-PEST-ALL,EEA-NV-ALL NON-PEST-ALL",,,,,,
NV-Commercial Fertilizer,NV,Nevada,Commercial Fertilizer,,"Fertilizer,Liming Material",N/A,> 0,,,No,Yes,Registration,Annual,12,$80.00,$80.00,,$/Registration,,,Allison Kosturos,nvferts@agri.nv.gov,,,(775) 353-3635,nvferts@agri.nv.gov,State Chemist,Online Portal,https://nv.certifyag.com/Fert/,"Label,SDS",2 Months,30,Easy,,,,,,,Online Portal,Updated labels,Email,https://nv.certifyag.com/Fert/,,https://nv.certifyag.com/Fert/,https://agri.nv.gov/Resources/Registration/Division_of_Plant_Health_and_Compliance-Fertilizers/,"Name Change,Guarantee Change,Registrant Change",,,,State Chemist,Nevada Department of Agriculture,405 South 21st Street,Sparks,NV,89431,Fertilizer,"2997,3062,3128,3191,3254,3317,3442,3505,3599,3734,3798,3862,3926,4048,4114,4178,4242,4319,4383,4454,4518,4637,4701,4765,4829,4894,4958,5022,5150,5836,6363,6807,6808,6809,8642,8700,8762,9576,9577,9578,9579,9580,9581,9582,9583,9584,9585,9586,9587,9588,9589,9590,9984,10849,10850,10851,10852,10853,10902,11159,11262,11365,11468,12793,13136","OMY-NV-ALL NON-PEST-ALL,ARB-NV-ALL NON-PEST-ALL,BOR-NV-ALL NON-PEST-ALL,SYM-NV-ALL NON-PEST-ALL,VER-NV-ALL NON-PEST-ALL,EEA-NV-ALL NON-PEST-ALL","2997,3062,3128,3191,3254,3317,3442,3505,3599,3734,3798,3862,3926,4048,4114,4178,4242,4319,4383,4454,4518,4637,4701,4765,4829,4894,4958,5022,5150,5836,6363,6807,6808,6809,8642,8700,8762,9576,9577,9578,9579,9580,9581,9582,9583,9584,9585,9586,9587,9588,9589,9590,9984,10849,10850,10851,10852,10853,10902,12793,11159,11262,13136,11365,11468",,,,,End of Year
NV-Quarterly Tonnage,NV,Nevada,Quarterly Tonnage,,"Fertilizer,Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent,Liming Material",N/A,,,,No,Yes,Tonnage/Mill,Quarterly,,,,$0.3000,$/Ton Sold,$5.00,,Allison Kosturos,nvferts@agri.nv.gov,,,(775) 353-3635,nvferts@agri.nv.gov,State Chemist,,https://nv.certifyag.com/Fert/,,,,,,,,,,,,,,https://nv.certifyag.com/Fert/,Online Portal,https://nv.certifyag.com/Fert/,https://agri.nv.gov/Resources/Registration/Division_of_Plant_Health_and_Compliance-Fertilizers/,,,,****Quarterly reporting is required UNLESS completed the annual tonnage estimate and prepaid,,,,,,,Tonnage,"665,717,1776,6698,6949,7112,8930","OMY-NV-ALL NON-PEST-ALL,ARB-NV-ALL NON-PEST-ALL,BOR-NV-ALL NON-PEST-ALL,SYM-NV-ALL NON-PEST-ALL,VER-NV-ALL NON-PEST-ALL,EEA-NV-ALL NON-PEST-ALL","665,717,1776,6698,6949,7112,8930",,,,"01,04,07,10",
NV-Soil Amendment,NV,Nevada,Soil Amendment,,"Amendment/Conditioner,Surfactant/Wetting Agent,Biological Inoculant",N/A,0,,,Yes,Yes,No Regulation,,,,,,,,,Allison Kosturos,nvferts@agri.nv.gov,,,(775) 353-3635,nvferts@agri.nv.gov,State Chemist,,https://nv.certifyag.com/Fert/,,,,,,,,,,,,,,https://nv.certifyag.com/Fert/,,https://nv.certifyag.com/Fert/,https://agri.nv.gov/Resources/Registration/Division_of_Plant_Health_and_Compliance-Fertilizers/,,,,No regulation found,,,,,,,Biostimulant,"219,252,956,1267,1354,1455,1816,1818,1905,2301,6052,6104,6148,6174,6200,6226,6252,6278,6304,6330,6402,7744,7607,7673,7276,7409,7343,7475,7541,7210,7822,8472,8918,9272,9909,10132,10211,10993,11066,11555,11633,11788,11866,11944,12022,12100,12178,12256,12334,12412,12490,12568,12646,12724,12863,13221,13941,13942,13943,13944,13945,13946,13947,13948,13949,14010","OMY-NV-ALL NON-PEST-ALL,ARB-NV-ALL NON-PEST-ALL,BOR-NV-ALL NON-PEST-ALL,SYM-NV-ALL NON-PEST-ALL,VER-NV-ALL NON-PEST-ALL,EEA-NV-ALL NON-PEST-ALL","219,252,956,1267,1354,1455,1816,1818,1905,2301,6052,6104,6148,6174,6200,6226,6252,6278,6304,6330,6402,7210,7276,7343,7409,7475,7541,7607,7673,7744,7822,8472,8918,9272,9909,10132,10211,10993,11066,12863,11555,11633,11788,11944,11866,12022,13221,12100,12178,12256,12334,12412,12490,12568,12646,12724",,,,,
NY-Ag Lime Annual Tonnage,NY,New York,Ag Lime Annual Tonnage,,Liming Material,N/A,,,,No,Yes,Tonnage/Mill,Annual,,,,,,,,,,,,,,Com. of NY Ag & Markets,,,,,,,,,,,,,,,,,Paper/Mail,,https://agriculture.ny.gov/plant-industry/commodities-program,,,,,,,,,,,Tonnage,8931,,8931,,,,01,
NY-Ag Lime Product,NY,New York,Ag Lime Product,,Liming Material,N/A,,,,No,Yes,Regulated with License,Annual,12,,,,,,,,,,,,,Com. of NY Ag & Markets,,https://agriculture.ny.gov/plant-industry/application-license-sell-brand-agricultural-liming-material,,,30,,,,,,,,,,,,,,https://agriculture.ny.gov/plant-industry/commodities-program,,,,,,,,,,,,,,,,,,,End of Year
NY-Ag Liming Material License,NY,New York,Ag Liming Material License,,Liming Material,N/A,,,,No,Yes,License,Biennial,01,$150.00,$150.00,,,,,,,,,,,Com. of NY Ag & Markets,Paper/Mail,https://agriculture.ny.gov/plant-industry/application-license-sell-brand-agricultural-liming-material,,3 months,30,Easy,,,,,,,Paper/Mail,,,,,,https://agriculture.ny.gov/plant-industry/commodities-program,,,,,,,,,,,,14116,,,,,,,End of Year
NY-Beneficial Substance,NY,New York,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,Com. of NY Ag & Markets,,,,,30,,,,,,,,,,,,,,https://agriculture.ny.gov/plant-industry/commodities-program,,,,,,,,,,,,,,,,,,,
NY-Commercial Fertilizer,NY,New York,Commercial Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Label Submission,Biennial,12,$0.00,$0.00,,,,$0.00,Jan Morawski,Jan.Morawski@agriculture.ny.gov ,,,(518) 457-2087,,Com. of NY Ag & Markets,Paper/Mail,,"Label,SDS",2 Months,30,Moderate,,,,,,,Paper/Mail,Updated labels,Email,,,,https://agriculture.ny.gov/plant-industry/commodities-program,,,,Covered under the license,NYS Dept of Ag & Markets,Division of Plant Industry,10B Airline Drive,Albany,NY,12235,Fertilizer,"22,379,444,441,450,3002,3067,3133,3196,3259,3322,3447,3510,3604,3735,3799,3863,3927,4049,4115,4179,4243,4320,4384,4455,4519,4638,4702,4766,4830,4895,4959,5023,5151,5372,5446,5515,5837,6365,6819,7115,7878,7879,7880,7881,8643,8707,8763,7105,9059,9125,9191,9985,10319,10324,10539,10672,11160,11263,11366,11469,12902,12903,12905,12906,13137,13462,13488,13726",,"22,379,441,444,450,3002,3067,3133,3196,3259,3322,3447,3510,3604,3735,3799,3863,3927,4049,4115,4179,4243,4320,4384,4455,4519,4638,4702,4766,4830,4895,4959,5023,5151,5372,5446,5515,5837,6365,6819,7105,7115,7878,7879,7880,7881,8643,8707,8763,9059,9125,9191,9985,10319,10324,10539,10672,12902,12903,12905,12906,11160,11263,13137,11366,11469",,,,,End of Year
NY-Fertilizer License,NY,New York,Fertilizer License,,Fertilizer,N/A,> 0,,,No,No,License,Biennial,12,$150.00,$150.00,,$/License,,$0.00,,Jan.Morawski@agriculture.ny.gov ,,,(518) 457-2087,,Com. of NY Ag & Markets,Paper/Mail,https://agriculture.ny.gov/plant-industry/application-license-distribute-commercial-fertilizer,,2 Months,30,,,,,,,,Paper/Mail,,,,,,https://agriculture.ny.gov/plant-industry/commodities-program,,,,,NYS Dept of Ag & Markets,Division of Plant Industry,10B Airline Drive,Albany,NY,12235,Fertilizer,"133,894,895,917,1654,2025,2302,3549,5609,6366,6818,7861,8106,8644,9228,12907,13376,13439,13519",,"133,894,895,917,1654,2025,2302,3549,5609,6366,6818,7861,8106,8644,9228,12907,13439",,,,,End of Year
NY-Fertilizer Reports and fees,NY,New York,Fertilizer Reports and fees,,Fertilizer,N/A,,,,,Yes,Tonnage/Mill,Annual,,,,$0.1000,$/Ton Sold,,,,Jan.Morawski@agriculture.ny.gov ,,,(518) 457-2087,,Com. of NY Ag & Markets,,,,,,,,,,,,,,,,,Paper/Mail,https://agriculture.ny.gov/plant-industry/commodities-program,https://agriculture.ny.gov/plant-industry/commodities-program,,,,"Tonnage is reported semi-annually but an annual payment is required only during the S2 report. This has been change to only reporting annually as of Jan 1, 2014",NYS Dept of Ag & Markets,Division of Plant Industry,10B Airline Drive,Albany,NY,12235,Tonnage,"1200,1203,1334,5759,6699,8007,8010,10710,12908",,"1200,1203,1334,5759,6699,8007,8010,10710,12908",,,,01,
